User ID,Pretest(Easy),Posttest(Easy),Easy Learning Gain,Easy Learning Gain (z),Pretest(Average),Posttest(Average),Average Learning Gain,Average Learning Gain (z),Pretest(Difficult),Posttest(Difficult),Difficult Learning Gain,Difficult Learning Gain (z),Pretest(Total),Posttest(Total),Total Learning Gain,Total Learning Gain (z),Mean difference,4.27027027
5,7,9,2,0.7392945657,5,7,2,0.043259403,9,10,1,-0.2645256097,21,26,5,0.1870949466,Standard Deviation,#MACRO?
6,10,10,0,-0.1933338759,7,7,0,-0.8432037729,4,4,0,-0.6260475582,21,21,0,-0.7963730232,Standard error of the mean difference,#MACRO?
14,9,8,-1,-0.6596480968,8,9,1,-0.3999721849,9,9,0,-0.6260475582,26,26,0,-0.7963730232,T-statistic,#MACRO?
15,8,8,0,-0.1933338759,5,9,4,0.9297225788,8,6,-2,-1.349091455,21,23,2,-0.4029858353,,
16,9,10,1,0.2729803449,5,10,5,1.372954167,8,6,-2,-1.349091455,22,26,4,-0.0095986474,,
19,10,7,-3,-1.592276538,8,10,2,0.043259403,7,7,0,-0.6260475582,25,24,-1,-0.9930666171,,
23,10,16,6,2.604551449,8,8,0,-0.8432037729,6,6,0,-0.6260475582,24,30,6,0.3837885405,,
24,10,9,-1,-0.6596480968,9,9,0,-0.8432037729,9,10,1,-0.2645256097,28,28,0,-0.7963730232,,
29,5,6,1,0.2729803449,0,5,5,1.372954167,7,10,3,0.4585182872,12,21,9,0.9738693223,,
31,10,10,0,-0.1933338759,8,9,1,-0.3999721849,7,7,0,-0.6260475582,25,26,1,-0.5996794292,,
32,7,7,0,-0.1933338759,2,7,5,1.372954167,4,7,3,0.4585182872,13,21,8,0.7771757284,,
35,6,5,-1,-0.6596480968,4,6,2,0.043259403,3,5,2,0.0969963388,13,16,3,-0.2062922413,,
36,10,10,0,-0.1933338759,4,7,3,0.4864909909,2,6,4,0.8200402357,16,23,7,0.5804821344,,
37,8,7,-1,-0.6596480968,7,7,0,-0.8432037729,6,8,2,0.0969963388,21,22,1,-0.5996794292,,
38,9,10,1,0.2729803449,8,9,1,-0.3999721849,4,10,6,1.543084133,21,29,8,0.7771757284,,
39,9,10,1,0.2729803449,9,10,1,-0.3999721849,9,10,1,-0.2645256097,27,30,3,-0.2062922413,,
40,6,8,2,0.7392945657,6,6,0,-0.8432037729,6,6,0,-0.6260475582,18,20,2,-0.4029858353,,
41,8,7,-1,-0.6596480968,5,7,2,0.043259403,9,5,-4,-2.072135352,22,19,-3,-1.386453805,,
42,8,8,0,-0.1933338759,8,7,-1,-1.286435361,2,7,5,1.181562184,18,22,4,-0.0095986474,,
43,8,8,0,-0.1933338759,4,5,1,-0.3999721849,6,4,-2,-1.349091455,18,17,-1,-0.9930666171,,
44,8,7,-1,-0.6596480968,6,6,0,-0.8432037729,0,5,5,1.181562184,14,18,4,-0.0095986474,,
46,4,8,4,1.671923007,0,6,6,1.816185755,2,6,4,0.8200402357,6,20,14,1.957337292,,
47,4,10,6,2.604551449,0,6,6,1.816185755,1,4,3,0.4585182872,5,20,15,2.154030886,,
48,9,10,1,0.2729803449,5,8,3,0.4864909909,8,8,0,-0.6260475582,22,26,4,-0.0095986474,,
49,7,7,0,-0.1933338759,6,8,2,0.043259403,2,3,1,-0.2645256097,15,18,3,-0.2062922413,,
50,5,8,3,1.205608787,7,8,1,-0.3999721849,4,5,1,-0.2645256097,16,21,5,0.1870949466,,
51,6,9,3,1.205608787,1,10,9,3.145880519,0,9,9,2.627649978,7,28,21,3.33419245,,
52,7,7,0,-0.1933338759,6,7,1,-0.3999721849,8,8,0,-0.6260475582,21,22,1,-0.5996794292,,
53,9,8,-1,-0.6596480968,4,8,4,0.9297225788,6,8,2,0.0969963388,19,24,5,0.1870949466,,
54,6,6,0,-0.1933338759,6,5,-1,-1.286435361,5,7,2,0.0969963388,17,18,1,-0.5996794292,,
55,7,10,3,1.205608787,6,9,3,0.4864909909,6,8,2,0.0969963388,19,27,8,0.7771757284,,
56,6,8,2,0.7392945657,3,6,3,0.4864909909,6,8,2,0.0969963388,15,22,7,0.5804821344,,
57,9,9,0,-0.1933338759,6,6,0,-0.8432037729,7,7,0,-0.6260475582,22,22,0,-0.7963730232,,
58,8,10,2,0.7392945657,5,8,3,0.4864909909,4,10,6,1.543084133,17,28,11,1.36725651,,
59,10,7,-3,-1.592276538,7,5,-2,-1.729666949,7,6,-1,-0.9875695066,24,18,-6,-1.976534587,,
60,10,9,-1,-0.6596480968,6,6,0,-0.8432037729,5,10,5,1.181562184,21,25,4,-0.0095986474,,
61,9,9,0,-0.1933338759,8,10,2,0.043259403,9,10,1,-0.2645256097,26,29,3,-0.2062922413,,
